Author	DOB
J.A. Vooren	20ste eeuw
Loe Hsuun	20ste eeuw
Bergman	11 september 1921
Johan van Os	1933
Swan-Liat Kwee	1922
Manja Croiset	1946
J. Bronowski	20ste eeuw
Henk M. Beumer	20ste eeuw
Rudo Durant	1932
John den Admirant	1932
Hans Reddingius	14 augustus 1930
Ronny van Cleef	28 juni 1921
Ellen Warmond	23 september 1930
Eugène James	24 maart 1928
Friederike Granberg	
Leopold Flam	16 maart 1912
P. Hoogenboom	20ste eeuw
Henk van Maurik	8 mei 1920
A.J. Cnoop Koopmans	20ste eeuw
Pszisko Jacobs	24 juli 1917
J.H.L. Laps	20ste eeuw
H. Furstner	20ste eeuw
A. Wildeman	20ste eeuw
Charles Meeking	20ste eeuw
Naoya Shiga	20 februari 1883
Maria van der Steen	1906
H.P. Jullien	20ste eeuw
C. de Groot	20ste eeuw
Germaine Tillion	30 mei 1907
Birage Diop	11 december 1906
Léopold Sédar Senghor	9 oktober 1906
A.H. Wertheim-Gijse Weenink	15 augustus 1903
Johan Achterhof	20ste eeuw
G. van Geffen	20ste eeuw
T. Haan	1934
A.K. Datta	20ste eeuw
Paul Citroen	15 december 1896
Gerrit Rietveld	24 juni 1888
Willem Andriessen	25 oktober 1887
Jan Schepens	28 mei 1909
Paul Groenendaal	20ste eeuw
Jacques Dewaele	2 oktober 1927
Wim Gijsen	1933
C. Ch. Mout	20ste eeuw
Katsumi Tanaka	
Shigeharu Nakanó	25 januari 1902
José María de Semprún Gurrea	5 augustus 1893
Miguel Hernández	30 oktober 1910
Blas de Otero	15 maart 1916
Ramón Lugris	1932
Luis Araquistain	18 juni 1886
Prosper de Smet	2 juni 1919
Emmy Kerkhoff	20ste eeuw
S.H. Meijler	20ste eeuw
Derk de Vries	20ste eeuw
Arnold Jan d' Ailly	22 juni 1902
Margaretha Ferguson	5 september 1920
Lieuwe Hornstra	1908
Zbigniew Ogonowski	1924
John Drager	20ste eeuw
Adri Laan	20ste eeuw
Leo Rikmenspoel	29 oktober 1889
Jan Knappert	14 januari 1927
N.D. Lammers van Toorenburg	19de eeuw
A. Prins	19de eeuw
L.W.C. Keuchenius	19de eeuw
F.G. Steck	19de eeuw
L.A.J.W. Sloet	28 maart 1806
Wanda Maya	20ste eeuw
Henriëtte Boas	10 oktober 1911
L.C. Biegel	20ste eeuw
K.L. Roskam	20ste eeuw
L.O. Schuman	20ste eeuw
Cor de Groot	1907
R.C. Winter	20ste eeuw
A. Wachter	20ste eeuw
D. Elema	4 oktober 1618
C.J. Huizinga	20ste eeuw
Cora Vreede - de Stuers	20ste eeuw
Jan Janze	20ste eeuw
H.H. van Kol	23 mei 1852
Ingrid Jonker	19 september 1933
Fred van Wijck	20ste eeuw
Ank Steenis	20ste eeuw
H. van der Ploeg	20ste eeuw
Wessel Scheffer	25 juni 1823
P. Glazema	20ste eeuw
L. Kolakowski	Radom 1927
S.H. Delhaas	20ste eeuw
Maria de Groot	26 februari 1937
H.G. Surie	20ste eeuw
F. Roels	1887
G.J.P. Cammelbeeck	17 augustus 1919
A. de Roos	20ste eeuw
Ben Groeneveld	5 mei 1898
J.B. Bakema	20ste eeuw
Marcel van Matena	20ste eeuw
Oscar Mohr	1907
B.C. van Houten	20ste eeuw
Paul van der Loeff	20ste eeuw
Jac. Wolsink-Schouten	20ste eeuw
E.J. Spliethoff	20ste eeuw
C.W. Rietdijk	1927
Mark Braet	7 juli 1925
Pandelis Prewelakis	18 februari 1909
E.B. Mayer-Swart	1918
P.M. Croiset	20ste eeuw
Eveline van Deth	20ste eeuw
Caroline F. Ware	20ste eeuw
J. Dhont	20ste eeuw
Gerard Heederik	27 april 1927
S. Na'aman	20ste eeuw
Anna Muntjewerf	20ste eeuw
P. Jansen Schoonhoven	20ste eeuw
Margreet Koekebakker	20ste eeuw
Fries de Vries	1931
Reinout Vreijling	7 januari 1926
Inne de Jong	13 september 1894
J.J.P. Oud	9 februari 1890
Roger Serras	7 september 1942
Michele Ondei	1923
Steven Membrecht	13 juni 1937
Heinz Neudecker	1933
W. de Vries	20ste eeuw
Daniël van Ryssel	3 maart 1940
W.J. Jong	19de eeuw
A.J. Vermeersch	1926
D. van der Meulen	20ste eeuw
Rafael Alberti	16 december 1902
Sippora Stibbe	25 september 1931
Clem Schouwenaars	28 december 1932
Marc Andries	11 februari 1939
Piet Sterckx	25 september 1925
Lieuwe H. Bouma	28 augustus 1919
R. Cordes	1940
Jozef Eyckmans	20ste eeuw
G. Th. Ruttenberg	16de eeuw
Erik Stinus	22 augustus 1934
J. ten Brink	20ste eeuw
Jan Vanhaelen	1942
Ward Ruyslinck	17 juni 1929
Nic van Bruggen	17 maart 1938
Carla Walschap	20 december 1932
Roger Binnemans	1932
J. Kreykamp	1936
Maxim de Winter	1945
Aya Zikken	21 september 1919
Fedde Schurer	25 juli 1898
H. Wouters	20ste eeuw
Krine Boelens	1914
Fem Rutke	20 mei 1934
Inge Tielman	17 maart 1931
Jeroen Brouwers	30 april 1940
Georges Fukkink	1943
R.V. Leembruggen	8 mei 1940
Clarissa Jacobi	1920
Loek den Hoef	20ste eeuw
D.A.L. Schröder	20ste eeuw
G.J.M. van het Reve	11 april 1892
Werner Cranshoff	20ste eeuw
Jerzy Holzer	24 augustus 1930
Malgorzata Hillar	19 augustus 1926
Jerzy Sito	8 november 1934
Jan Balicki	20ste eeuw
Tadeusz Rózewicz	9 oktober 1921
M. van Hulten	20ste eeuw
J. P. Schuyf	20ste eeuw
Mieczyslaw Jastrun	29 oktober 1903
Kazimierz Gromski	20ste eeuw
Bob Carlier	1931
H.Th. Chabot	1910
J. van Wijk	20ste eeuw
A. van der Zwan	1935
Julien Vandiest	1919
A.J. Koejemans	1903
J. Dommisse	1928
H.J. van der Mei	1926
N. van Hees	20ste eeuw
W. Langeveld	1928
Roger van de Velde	13 februari 1925
N.C. Clegg-Bruinwold Riedel	
Jan Noort	1929
L.H. van der Tweel	20 maart 1915
Th.J. Hooning	20ste eeuw
Tsjou Li-po	1908
J.H. de Haas-Posthuma	20ste eeuw
René Dekkers	27 november 1909
Bruce Burton	1933
Klaas Schipper	20ste eeuw
P.A. Kooijman	25 februari 1891
F. Kempers	20ste eeuw
K. Kuiper	20ste eeuw
Bruno Walschap	1938
Jos Vandeloo	5 september 1925
M. Rácz	20ste eeuw
H.H. Kirchheiner	1912
H.Th. Kok	20ste eeuw
W. van der Marck	20ste eeuw
Alex Bolckmans	1923
J. van Santen	20ste eeuw
Frank Liedel	18 oktober 1924
G.G. Bauman	20ste eeuw
Maarten van Dullemen	20ste eeuw
Gérard van Kalmthout	1967
Wouter Kotte	1933
René Louis Gysen	8 maart 1927
Kazimir Malewitsj	13 februari 1879
Ann Smith	20ste eeuw
H. Doedens	1906
A. Schuurman	20ste eeuw
S.J. Rutgers	20ste eeuw
B.E. Rutgers	20ste eeuw
E. Standaert	20ste eeuw
Margreet van Hoorn	26 april 1926
H. van Strien	19de eeuw
J. Bok	19de eeuw
Jan Messchert van Vollenhove	1740
Albert Verwey	15 mei 1865
Roelof Schuiling	27 mei 1854
Jan Gerrit Talen	29 november 1861
E. Rijpma	10 april 1879
Klaas Poll	19de eeuw
Theo Thijssen	16 juni 1879
J.H. Swildens	10 maart 1745
K. Veenenbos	19de eeuw
Antonie de Vletter	1883
Ph.J. Simons	19de eeuw
J.J. Woltjer	24 januari 1924
J.L. Horsten	5 september 1879
Jacob van der Valk	1865
G. Engels	19de eeuw
M.R. Dijkman	19de eeuw
J.A. vor der Hake	14 maart 1880
J. Verboven	19de eeuw
Lodewijk Makeblijde	24 maart 1565
A.J. de Jong	1880
J. van Boskoop	19de eeuw
Ezechiël Slijper	13 augustus 1874
M.A. van Weel	19de eeuw
H.A. Westrate	19de eeuw
Enoch Krook	ca. 1660
Gerrit ten Bruggencate Hermz.	23 maart 1803
Joh. Jac. Smith	5 oktober 1883
J. Kooistra	19de eeuw
E.J. Haslinghuis	1881
F.P.H. Prick van Wely	30 januari 1867
Yvonne Koop	20ste eeuw
Aert Schouman	1710
E.J. van Sonsbeek	19de eeuw
R. Wijkman	19de eeuw
C.F. Krijs	1668
B.M. Noach	19de eeuw
Jos. Schrijnen	3 mei 1869
A. van Herk	19de eeuw
D. Haagman	19de eeuw
A.S. Bijl	19de eeuw
E.G. Courrech Staal	19de eeuw
M.H. van de Ven	19de eeuw
Joannes van der Elst	1594
Th. de Jager	19de eeuw
Jac Heeren	13 november 1888
S.A. Krijn	19de eeuw
W. Govaart	19de eeuw
F. den Eerzamen	29 juli 1882
K. Kooiman	26 december 1882
Karel Lantermans	1878
K. Blokhuis	19de eeuw
J. Hoeksma	1 april 1865
P. Koster	19de eeuw
J.J. le Roux	1888
F.A. Stoett	5 mei 1863
K.W. de Groot	19de eeuw
Wobbe de Vries	11 maart 1863
G.E. Opstelten	16 augustus 1889
R. Kaltofen	19de eeuw
J.M. van der Hoogt	19de eeuw
Abraham Kuyper	29 oktober 1837
J. van der Baan	31 januari 1750
Erik Wellander	19de eeuw
P.H. Greiner	1900
D.B. Bosman	30 januari 1888
Elisabeth Jongejan	3 oktober 1894
H.H. Knippenberg	12 september 1879
E.C. Pienaar	13 december 1882
L.P.H. Eykman	27 november 1854
Marten Jan van der Meer	1864
G.A. Brands	1883
K.H. de Raaf	1871
Andries Borgeld	26 december 1868
J.M.G. Evers	19de eeuw
Maria Simon Thomas	16 september 1901
Tj. Sterringa	1876
G. Beumer	19de eeuw
W. van den Ent	19de eeuw
Hendrikus Pomes	19de eeuw
W.L. Bezema	19de eeuw
Reind Kuitert	19de eeuw
W. Kraak	19de eeuw
Luc Salu	20ste eeuw
L. Koch	19de eeuw
Th.B.F. Hoyer	19de eeuw
L.J.J. Olivier	1902
R. Pennink	1884
J. van Rijckevorsel	19de eeuw
J.C. van der Does	1877
A. Kuiper	20ste eeuw
A.J. Schneiders	7 maart 1894
J. Hovy	1875
René van Sint-Jan	2 juni 1887
M. Buisman J. Fzn.	21 oktober 1891
Jacob Hiegentlich	30 april 1907
W.G.J.A. Jacob	19de eeuw
G.J. Uitman	1901
F.C. Driessen	10 september 1906
F. Jansonius	1902
Dirk Gerhardus Muller	28 februari 1796
Marie H. van der Zeyde	1905
Ulfert Schults jr.	19de eeuw
Roelof Schokker	19de eeuw
Lodewijk Maerevoet	1903
Franz Staude	24 april 1886
L.M. van Dis	21 mei 1904
Anton Reichling	9 juli 1898
Jan van Dam	3 oktober 1896
H. van Wichert	19de eeuw
C. Wilkeshuis	9 december 1896
Riemer Reinsma	1941
A.R. Hol	9 mei 1895
H.A.C. Spoelstra-Spruyt	20ste eeuw
L.A. te Winkel	13 september 1809
Th.H. d' Angremond	19de eeuw
C.L. Thijssen-Schoute	19 mei 1904
M. Mendel	20ste eeuw
D.H. Smit	19de eeuw
Annick De Vylder	20ste eeuw
Eugène de Bock	23 april 1889
T. Langeveld-Bakker	19de eeuw
M.H. de Haan	19de eeuw
G.G. Ellerbroek	20ste eeuw
M.M. Prinsen	19de eeuw
P.C. Schoonees	23 december 1891
H. van de Graaf	19de eeuw
J.H.J. Willems	1902
Heike Kamerlingh Onnes	21 september 1853
C.M. de Beaufort	19de eeuw
E.J. Gras	19de eeuw
J.J. Soons	19de eeuw
B. van den Berg	14 februari 1911
Isaac van der Velde	19de eeuw
A.C. de Jong	19de eeuw
A.M. Korpershoek	19de eeuw
C.G.L. Apeldoorn	1910
Mirjam Ernestus	1969
Paul van der Meulen	2 maart 1900
J.A. Wartena	19de eeuw
H. Bovenkerk	19de eeuw
B.H. Kazemier	14 oktober 1907
C.W. Schoonhoven	20ste eeuw
J. Karsemeijer	1897
F.G.A. Stemvers	31 januari 1896
Ch.A. Thomas-Bourgeois	20ste eeuw
U. Tuinstra	1901
B.H. Peteri	19de eeuw
H.B.A. Bockwinkel	19de eeuw
G.A. Mesters	17 december 1896
Luc. Boreel	1 september 1780
W.H.N. van Wel	20ste eeuw
J.P. Prins	20ste eeuw
Helga Van Geertsom	1944
Johan Moorman	22 december 1696
F.N. Jansen	19de eeuw
P. Stienstra	20ste eeuw
J.W.N Delteijk	20ste eeuw
Chr. Stapelkamp	2 maart 1879
J.M. Willeumier-Schalij	1917
A.P. Kieft	20ste eeuw
D. van Unnik	20ste eeuw
H.L. Bezoen	19 april 1908
H.J.A. Hissink	20ste eeuw
M.J. Jochems	20ste eeuw
Judi I.H. Mendels	20ste eeuw
G.A. Sybenga	20ste eeuw
F.G. Hesmerg	20ste eeuw
J.F. Hengeveld	20ste eeuw
C.N. Dubelaar	22 juni 1917
A.M.L. de Meere	20ste eeuw
J. Naarding	21 juni 1903
A. van Mourik	20ste eeuw
L.H.M. Muris	20ste eeuw
Honoratius Sengers	20ste eeuw
P. Maximilianus O.F.M. Cap.	12 oktober 1884
C. Kruyskamp	31 mei 1911
A.H. Kooyker	
Hendricus Sparnaay	24 mei 1891
A.G.J. Hermans	15 augustus 1889
A.M.J. van Spaendonck	20ste eeuw
Reind J. Elema	20ste eeuw
P.A.F. van Veen	1923
M.A.F. Ostendorf	20ste eeuw
J.W.F.X. de Rijk	ca. 1920
J.H. van Waveren	20ste eeuw
D. Holzscherer	20ste eeuw
Johannes Steenmeijer	28 maart 1791
Hugo Willem Bosscha	1904
A.E. Meeussen	1912
A.H. Kan	1875
J.G. Dijkstra	
A. van Loey	14 juli 1905
M.A. Nauwelaerts	1908
Jan Poortman	1 oktober 1897
W.J. Buma	19 oktober 1910
N. de Bresser	20ste eeuw
Johan de Brune (de Oude)	29 mei 1588
J.H. Kramer	20ste eeuw
L.G. Oosten-Marwitz	20ste eeuw
A.P. Braakhuis	20ste eeuw
Lambartus Stoppendaal Pieters zoon	1746
G.W. Jansen	19de eeuw
A.G. van der Horst	20ste eeuw
J.C. van Holten	20 januari 1928
G.Th.M. Verhaak	1920
S.P. Uri	21 mei 1903
H. Vogelsang	20ste eeuw
Aletta Huijsinga	20ste eeuw
W.E. Hegman	24 juni 1924
J. de Kruys	20ste eeuw
A.A.M. de Villiers	19de eeuw
F.I.J. van Rensburg	20ste eeuw
G. Colmjon	27 april 1828
M.J. van Westenbrugge	20ste eeuw
C. Kostelijk	20ste eeuw
J.B. Drewes	20 december 1907
F.J.P. Peeters	1918
B.W.E. Veurman	20ste eeuw
A.P. de Bont	20 januari 1889
M. Zwaagdijk	1876
Hubert J. Michaël	26 september 1911
C.M. Geerars	15 augustus 1921
A.G.F. van Holk	15 december 1924
F. van Vinckenroye	7 augustus 1920
F. Ketner	20ste eeuw
Jan Frans Gratiaen	1727
Bert Japin	27 februari 1926
A.I.M. van der Waag	20ste eeuw
A.P. Cornet	20ste eeuw
A.F. Manning	1929
Q.W.J. Daas	1926
W. van Beusekom	20ste eeuw
J. Vergote	16 maart 1910
John de Pool	1873
R. Haeseryn	29 september 1929
Arnold J.T. Stakenburg	1918
R. Lievens	2 januari 1924
M.A. Kerckhove	20ste eeuw
C.J.H. Steketee	20ste eeuw
A.W.P. van Ree	20ste eeuw
B.M. Salman	20ste eeuw
W.H. Vroom	1930
D.B. van Nisius	1933
L. Peeters	14 februari 1925
J.C. Arens	1918
J.A. Verhage	20ste eeuw
Theo Vindevogel	1916
A.G. van Melle	1934
Jan van Elsland	1671
J. Kwekkeboom	20ste eeuw
A.W. Krijgsman	20ste eeuw
Jan C. Villerius	1933
H. Weigert	2 mei 1918
W. Gobbers	28 december 1926
Jaap Meijer	18 november 1912
J. van der Steen	20ste eeuw
B. de Ligt	1934
Peter van Eeten	20ste eeuw
L. Koelmans	20ste eeuw
Marie van Kranendonk	9 november 1890
Johannes van der Schaar	8 december 1912
B.A. Mensink	20ste eeuw
Willem Sluiter	22 maart 1627
J.M.H. Vossen	25 oktober 1908
Theo Oudkerk Pool	1932
J.F. Couwenbergh	20ste eeuw
C. Bruins	20ste eeuw
B. Ouwerkerk	20ste eeuw
B.G.L. Overmaat	20ste eeuw
P.J. Vinken	25 november 1927
Raymond Kaye	
P.J. Merckens	20ste eeuw
J. Berits	17 januari 1920
Gerhard Worgt	1925
T.J.M. Versteeg	20ste eeuw
Marcel Hoebeke	1918
Jelle van der Meulen	1950
J.L. Price	1942
F.L. Zwaan	8 oktober 1906
H.J.J.M. van der Merwe	1913
A. Mankes-Zernike	30 april 1887
R. Vos	20ste eeuw
Tibor Klaniczay	
H. Schönbeck	20ste eeuw
G.C. de Waard	1931
Paul Delsemme	31 januari 1913
R. Galderoux	20ste eeuw
F.K.M. Mars	20ste eeuw
Jules de Corte	29 maart 1924
P.E.L. Verkuyl	1929
J. Hollestelle	18 januari 1915
J. de Ligne van Arenberg	1525
F.M. Gelens	20ste eeuw
J. J. Lub	20ste eeuw
W.P. Gerritsen	12 augustus 1935
E. Hendrikx	1909
H.M. Hermkens	1922
A.J. Verschoor	1962
I.D. du Plessis	25 juni 1900
Frank van Gestel	1939
Norbert Morciniec	1932
P. Gerbenzon	20 juni 1920
Gerhard Kuipers	20ste eeuw
Nienke Bakker	30 januari 1916
Hanneke van Buuren	24 juni 1938
H.J.J. Piket	20ste eeuw
Albert van Hogenbemt	20ste eeuw
S.C. Holleman-Stevens	20ste eeuw
C. van de Ketterij	1932
A.C.W. Staring	24 januari 1767
E.F. Wijsman	20ste eeuw
A. Roels	20ste eeuw
Jakob Zeeus	14 februari 1686
A. Jacob-Bekaert	20ste eeuw
J.L. Swellengrebel	1909
Dora van Velden	20ste eeuw
E. Nuijtens	20ste eeuw
Justus de Harduwijn	11 april 1582
Jacobus Revius	november 1586
N.J. Schuurmans	20ste eeuw
Michael van de heilige Augustinus	15 april 1621
Henk Hollaar	20ste eeuw
Jaap de Rooij	25 oktober 1931
S.A.E. van Puffelen	20ste eeuw
F. Revet	20ste eeuw
S.A.P.J.H. Iansen	7 augustus 1930
Wilco H. thoe Schwartzenberg en Hohenlansberg	1664
B.W. Schippers	1903
Claas W. de Kruyter	16 april 1922
Lieven Rens	15 januari 1925
H. van 't Veld	1932
W.M.H. Hummelen	9 oktober 1928
C. van Duijn jr.	20ste eeuw
H.B. de Groot	20ste eeuw
W. Martin	1941
Abraham Maas	6 maart (gedoopt) 1726
Ferdinand van Ingen	8 december 1933
Berend Jager	13 mei 1938
Willem M. Visser	1941
Jacques Zajicek	20ste eeuw
Adrianus van Selms	22 januari 1906
R.C. Engelberts	1923
Jacques Voisine	20ste eeuw
A.M.C. van Schaik-Verlee	20ste eeuw
H. Prudon	20ste eeuw
Yvette Stoops	1929
G.H. Dijkstra	20ste eeuw
R.P. Botha	1942
P.E.M. Boer	20ste eeuw
Epictetus	55
F.J. Koopmans-Van Beinum	20ste eeuw
J.P. Willems	1948
Ronald Spoor	1941
G.J. Helmer	20ste eeuw
Paul C.H. van der Goor	9 november 1932
A.N. Paasman	26 februari 1939
Wim Hendriks	18 december 1933
J.D. Reeder	20ste eeuw
P.J.F.M. Eligh	24 mei 1927
Piet Delen	20ste eeuw
Hans van Dijk	12 oktober 1939
Albert Schaalma	1943
W.H. Morel-van Mourik	20ste eeuw
M.E. van Slooten	20ste eeuw
J.B. de Caluwé	20ste eeuw
C. Monster	20ste eeuw
G.A. van Es	21 december 1904
A.J. Welschen	1943
J. IJsewijn	1932
Leonard Forster	30 maart 1913
Fons van Buuren	1932
K. Roelandts	6 mei 1919
G.M. Mesland	1937
E. Cramer-Peeters	20ste eeuw
J.W. Steenbeek	30 mei 1927
Fr. Daems	1941
P. van Hees	1937
Maurits Gysseling	7 september 1919
H.W.J. Vekeman	19 december 1938
P.L.M. Tummers	1921
B. Rademaker-Helfferich	20ste eeuw
M.J.M. de Haan	1942
Harry Scholten	1936
Pim de Vroomen	20ste eeuw
R. Hamburger	20ste eeuw
J.M.F. Stalpers	20ste eeuw
Bert Hofman	1931
René Jongen	1935
G. van Eemeren	1941
H.H. Grünhagen	20ste eeuw
J.J. Spa	1939
T. Hagtingius	19de eeuw
H.M. Eliassen-de Kat	15 januari 1926
R. Eeckhout	23 juli 1926
Jacobus Koelman	1633
A.W. ter Horst	20ste eeuw
Gysbert Koelstra	1899
A. Wynants	20ste eeuw
C.M. Verkroost	1913
M.G.M. Elling	20ste eeuw
Coen Bersma	20ste eeuw
Anton Roothaert	9 juni 1896
G. Scherps	20ste eeuw
D. Fokkema Sr.	20ste eeuw
H.M.J. van Galen	1934
J. Taeldeman	23 december 1943
A.G.M. Vermeulen	20ste eeuw
P.K. Niekerk	20ste eeuw
Eep Francken	1948
Piet Kralt	9 september 1953
W.J.M. van Calcar	20ste eeuw
Bert van Selm	3 april 1945
G.J.P. van Hoek	20ste eeuw
C.B.M. Wingen	20ste eeuw
W.A. Wijnands	20ste eeuw
Isaac Dorislaus	1595
K.R. de Graaf	21 april 1935
G.J. Dorleijn	1951
Herman Wekker	1943
Jan Gijsel	20ste eeuw
Ph. van de Nieuwegiessen	20ste eeuw
Dick Springorum	1941
A.A. Keersmaekers	26 oktober 1920
G. De Schutter	21 juli 1940
P. van der Woude	20ste eeuw
J.F. Geerds	1948
Evert de Jong	1924
Nigel F. Palmer	28 oktober 1946
P. Lammens-Pikhaus	20ste eeuw
Wil Sterenborg	20 juli 1923
N. van der Blom	7 april 1917
J.A. Verschoor	1926
Reinhilde Haest	1942
Hugo de Jonghe	1934
D.H. Lammers	1946
M.F. Steehouder	20ste eeuw
G. Gunneweg	20ste eeuw
Gerard Verhoeven	1944
C.H. Kneepkens	1944
Petrus de Jong	
P. van Overbeeke	1967
Edward Al. Th. Stam	20ste eeuw
Seymour L. Flaxman	20ste eeuw
P.W.J.L. Gerretsen	22 januari 1945
Domien ten Berge	20ste eeuw
Marie-José Desmet-Goethals	20ste eeuw
Jac. de la Torre	17de eeuw
D. Gil-Günzburger	1947
S.A.J. van Faassen	23 oktober 1949
Leo van Maris	7 november 1934
Th.H. van Doorn	20ste eeuw
Bert van den Broeck	1917
Frederik Jacobus Brevet	4 juli 1893
H.J. de Roy van Zuydewijn	19 december 1927
Ton Goeman	1943
J. de Gier	20 augustus 1939
H.J.A. Bolscher	20ste eeuw
N.C. van Velzen	1936
C. Gussenhoven	1946
Evert van den Berg	1942
Alfred M.M. Dekker	1947
R. Blok	18de eeuw
Dirk Coigneau	1948
Hans den Haan	20ste eeuw
A.A. Monden	20ste eeuw
Willemien B. de Vries	4 februari 1937
H.Chr. van Bemmel	1936
Johan van der Auwera	1953
Frans Jong	20ste eeuw
G.A. Bredero	16 maart 1585
Nicolaas Jansz. van Wassenaar	ca. 1571
Guido de Baere	1940
R. Jansen-Sieben	1930
Elie Nieuwborg	30 april 1927
C. Rooker	1946
Roland Willemyns	15 mei 1943
Odo Leys	1927
Jos A.A.M. Biemans	1951
P.N.G. Pesch	1953
A.H. Touber	1930
Henry Hargreaves	20ste eeuw
J.C. van Aart	20ste eeuw
Evelyn Wiers	20ste eeuw
J.C. Trimp	20ste eeuw
Stanislaw Predota	1944
Hanna Stouten	1937
H. Gilijamse	20ste eeuw
W.A.A.M. Merlijn	20ste eeuw
J.C. Prins s'Jacob	20ste eeuw
J. Kreuzen	20ste eeuw
W. Waterschoot	8 juli 1941
Henk Meter	29 februari 1932
Klaas van der Horst	1731
Hubert Meeus	1956
Oskar Wellens	1941
Roger Gilis	20ste eeuw
E.W.F. van den Elzen	18 juni 1932
F.R. Gilfillan	15 juli 1936
Rudolf Rasch	1945
Hans Oranje	20ste eeuw
L.E. Wirth-van Wijk	20ste eeuw
Jos Houtsma	1947
Henk Koeman	20ste eeuw
J.P. Gumbert	23 januari 1936
R.W.W.M. van der Drift	20ste eeuw
J. de Merica	1486
J.H. Winkelman	1940
J. Griffioen	20ste eeuw
Tom Hage	1953
Ton Vallen	1946
P. Stijnen	1942
Joke van der Wiel	1946
Jozef D. Janssens	3 november 1944
C.J.M. Jansen	15 augustus 1952
Orlanda S.H. Lie	1949
Annemarie Kets	1949
Jan Roukema	20ste eeuw
Dirk Geirnaert	1955
W. Fagel	20ste eeuw
L. van Herpt	20ste eeuw
F.J. Lodder	1952
Robert Hennebo	ca. 1685
Jan de Weert	?
Steven Gillis	1957
Gerrit van Olivier	1759
J. A. Le Loux-Schuringa	1953
Jelle Stegeman	20ste eeuw
Jos Versteegen	16 december 1956
Robert Jan van der Drift	
Jacobus Jansonius	september 1547
Didier L. Goyvaerts	1946
Aafje Gijsen	1753
Marlies Philippa	1944
Mark Baeyens	1951
Hendrick van Dam	17de eeuw
Egon Berendsen	1956
Lucie Huiskens	20ste eeuw
Patrick Wever	20ste eeuw
J. Coppens	16de eeuw
Jan Nuyts	20ste eeuw
Bart Besamusca	1955
Irene Spijker	1956
Paul Brondeel	20 juni 1927
G.P. van der Stroom	1958
T.M. Verhage-van den Berg	20ste eeuw
Astrid Joosse	20ste eeuw
Marijke Friesendorp	20ste eeuw
E. Oey-de Vita	28 juli 1930
Martha Louise Komter	20ste eeuw
J.F.P. Smit	1940
Jan Siemons	20ste eeuw
Gerben Wynia	20ste eeuw
Eveline Buchheim	20ste eeuw
Anneke de Lange	20ste eeuw
Johan Verhoeven	20ste eeuw
J.J.V.M. de Vet	1934
Marjan Birkenhäger	20ste eeuw
Baukje van Dam-Heringa	20ste eeuw
Hans Heinrich Meier	17 april 1924
Bernhard F. Scholz	1940
Hans Kienhorst	1954
F.J.A. Jagtenberg	1941
Frits Beukema	1940
Jip Wester	20ste eeuw
A.J. Geurts	1956
Roger Henrard	1921
G.J. Vroeijenstijn	20 juli 1939
Wilbert Spooren	1956
Lambert Melling	15de eeuw
Rob Grootendorst	11 februari 1944
Gunilla Dalberg	1945
Marieke M. van Oostrom	20ste eeuw
Renaat J.G.A.A. Gaspar	2 juli 1947
W.C.E. Koksma-ten Cate	20ste eeuw
Sytske Sötemann	1947
Georgius de Raat	ca. 1625
Theodoricus Pauli	ca. 1416-1417
Marijke de Haan	1938
Pieter Nieuwint	1945
Ans van Kemenade	1954
J.H. Reitz	4 juli 1655
L.M.G. Cremers	20ste eeuw
J.H. de Ridder	5 februari 1930
Fons Schoeters	1938
I. van Geest-Jacobs	20ste eeuw
Marysa Demoor	1956
Eberhard Nehlsen	1953
Maaike Hogenhout-Mulder	20ste eeuw
W.F.G. Breekveldt	1935
A.W.M. Duyx	20ste eeuw
R.P. Reisinger	20ste eeuw
Tini Booij	3 maart 1946
Kees Tamboer	20ste eeuw
Hans Luijten	1961
F.A.M. Riem Vis	20ste eeuw
Anja van Leusden	20ste eeuw
Stef Heyvaert	20ste eeuw
Fieny Pijls	20ste eeuw
Frank van den Dungen	20ste eeuw
Resy Delnoy	20ste eeuw
Jan Nijen Twilhaar	1955
Casper H. Staal	1946
Rik Smits	1953
C. van Coll	19de eeuw
F. Stuurman	1950
Dieuwke E. van der Poel	1958
Fabian R.W. Stolk	25 maart 1958
S. Paul Verluyten	20ste eeuw
Freddy van Besien	18 januari 1949
A.C. Hemmes-Hoogstadt	1945
J.P. Westgeest	20ste eeuw
Ada Vos-Postma	20ste eeuw
T.H.J. Broekmans	1948
A.H.M. de Graaf	20ste eeuw
Els den Os	1958
Rita Harder	20ste eeuw
Marijke Elstrodt	20ste eeuw
A. Aerts	20ste eeuw
Paulien Smabers	20ste eeuw
Helen de Hoop	1964
Frank Wijnen	1958
P.M. Nieuwenhuijsen	18 januari 1947
Paul Wackers	1950
Tineke ter Meer	20ste eeuw
J.Ph. van Oostrom	1920
Coby Verheul	20ste eeuw
Mieke B. Smits-Veldt	1936
Annejoke Smids	1963
Els Eweg	20ste eeuw
Elly van Gelderen	20ste eeuw
U. Knops	20ste eeuw
Kees Singeling	1960
Durk Gorter	1952
Maurits van Hattum	?
Marc Van Vaeck	1959
Jeanette Koekman	1960
G.C. de Vries	1961
J. Uyttendaele	11 november 1949
P.P. Schmidt	15 december 1954
Marc Carlier	20ste eeuw
Hans Vanacker	1960
Olf Praamstra	1950
A.E. Jacobs	1955
