Target	Source	Weight	Author	DOB
Bert Bakker	C. Vermeer	5	Bert Bakker	3 april 1912
A. Roland Holst	C. Vermeer	5	A. Roland Holst	23 mei 1888
Stefan George	J.H. Schouten	6	Stefan George	1868
Thomas Mann	J.H. Schouten	7	Thomas Mann	6 juni 1875
P.J. Risseeuw	Anna Mertens	7	P.J. Risseeuw	16 mei 1901
P.J. Risseeuw	J.H. Schouten	5	P.J. Risseeuw	16 mei 1901
Albe	J.H. Schouten	5	Albe	8 juni 1902
P.J. Risseeuw	Jan Elzo Niemeijer	17	P.J. Risseeuw	16 mei 1901
P.J. Risseeuw	Johan van Hulzen	8	P.J. Risseeuw	16 mei 1901
P.A. Hekstra	C. Vermeer	6	P.A. Hekstra	20ste eeuw
P.J. Risseeuw	C. Vermeer	11	P.J. Risseeuw	16 mei 1901
Bert Bakker	P.J. Risseeuw	5	Bert Bakker	3 april 1912
Bert Bakker	Jacoba M. Vreugdenhil	5	Bert Bakker	3 april 1912
Anna Mertens	A. Mertens	9	Anna Mertens	20ste eeuw
Guillaume van der Graft	C. Ouboter	7	Guillaume van der Graft	15 augustus 1920
T.S. Eliot	C. Ouboter	9	T.S. Eliot	26 september 1888
Ad den Besten	C. Ouboter	5	Ad den Besten	11 maart 1923
Coert Poort	C. Ouboter	5	Coert Poort	7 augustus 1922
Bert Bakker	C. Ouboter	6	Bert Bakker	3 april 1912
Dylan Thomas	C. Ouboter	5	Dylan Thomas	27 oktober 1914
Jacoba M. Vreugdenhil	Jan Elzo Niemeijer	18	Jacoba M. Vreugdenhil	1913
William Blake	F.W. van Heerikhuizen	5	William Blake	28 november 1757
Kees Ouboter	C. Ouboter	9	Kees Ouboter	20ste eeuw
Jaap Das	C. Ouboter	7	Jaap Das	1911
Albert Verwey	M. Rutten	7	Albert Verwey	15 mei 1865
August Vermeylen	Emiel Willekens	5	August Vermeylen	12 mei 1872
Albrecht Rodenbach	Emiel Willekens	5	Albrecht Rodenbach	27 oktober 1856
Marnix Gijsen	Emiel Willekens	6	Marnix Gijsen	20 oktober 1899
P.C. Boutens	Emiel Willekens	7	P.C. Boutens	20 februari 1870
E. du Perron	Emiel Willekens	5	E. du Perron	2 november 1899
Gerrit Achterberg	Emiel Willekens	7	Gerrit Achterberg	20 mei 1905
Ernest Claes	Emiel Willekens	5	Ernest Claes	24 oktober 1885
Multatuli	Emiel Willekens	11	Multatuli	2 maart 1820
Herman van den Bergh	Emiel Willekens	5	Herman van den Bergh	30 januari 1897
A. Roland Holst	Emiel Willekens	6	A. Roland Holst	23 mei 1888
Hendrik Conscience	Emiel Willekens	8	Hendrik Conscience	3 december 1812
Jan Engelman	Emiel Willekens	6	Jan Engelman	7 juni 1900
J.J. Mak	Emiel Willekens	8	J.J. Mak	5 juli 1908
Paul van Ostaijen	Emiel Willekens	9	Paul van Ostaijen	22 februari 1896
Leo Vroman	Emiel Willekens	6	Leo Vroman	10 april 1915
Herman Teirlinck	Emiel Willekens	5	Herman Teirlinck	24 februari 1879
Guido Gezelle	Emiel Willekens	8	Guido Gezelle	1 mei 1830
W.H. Beuken	Emiel Willekens	8	W.H. Beuken	10 augustus 1898
Albe	Emiel Willekens	9	Albe	8 juni 1902
Albert Verwey	Emiel Willekens	5	Albert Verwey	15 mei 1865
R. Lievens	Lode Roose	6	R. Lievens	2 januari 1924
A.A. Keersmaekers	R. Lievens	5	A.A. Keersmaekers	26 oktober 1920
A.A. Keersmaekers	Lode Roose	6	A.A. Keersmaekers	26 oktober 1920
M. Rutten	A.A. Keersmaekers	6	M. Rutten	18 april 1906
M. Rutten	W.J.C. Buitendijk	5	M. Rutten	18 april 1906
M. Rutten	Lode Roose	7	M. Rutten	18 april 1906
W.J.C. Buitendijk	M. Rutten	8	W.J.C. Buitendijk	11 april 1906
A.A. Keersmaekers	M. Rutten	5	A.A. Keersmaekers	26 oktober 1920
R.F. Lissens	W. Gobbers	6	R.F. Lissens	1912
P.J.H. Vermeeren	Lode Roose	6	P.J.H. Vermeeren	11 oktober 1913
C. Kruyskamp	Lode Roose	10	C. Kruyskamp	31 mei 1911
Willem Elsschot	Emiel Willekens	6	Willem Elsschot	7 mei 1882
Pierre Kemp	Emiel Willekens	5	Pierre Kemp	1 december 1886
P.J. Meertens	Emiel Willekens	5	P.J. Meertens	6 september 1899
Herman Gorter	Emiel Willekens	5	Herman Gorter	26 november 1864
Willem Kloos	Emiel Willekens	6	Willem Kloos	6 mei 1859
Karel Jonckheere	Emiel Willekens	5	Karel Jonckheere	9 april 1906
S.F. Witstein	Emiel Willekens	5	S.F. Witstein	22 mei 1920
Hugo Claus	Emiel Willekens	6	Hugo Claus	5 april 1929
Gaston Burssens	Emiel Willekens	5	Gaston Burssens	18 februari 1896
Garmt Stuiveling	Emiel Willekens	5	Garmt Stuiveling	21 december 1907
Richard Minne	Emiel Willekens	5	Richard Minne	30 november 1891
W.A.P. Smit	Emiel Willekens	9	W.A.P. Smit	6 december 1903
N.A. Donkersloot	Emiel Willekens	9	N.A. Donkersloot	8 september 1902
Anna Blaman	Emiel Willekens	6	Anna Blaman	31 januari 1905
Dirk Coster	Emiel Willekens	6	Dirk Coster	7 juli 1887
Willem Bilderdijk	Emiel Willekens	5	Willem Bilderdijk	7 september 1756
C.A. Zaalberg	Emiel Willekens	7	C.A. Zaalberg	27 november 1909
Lodewijk van Deyssel	Emiel Willekens	8	Lodewijk van Deyssel	22 september 1864
J.C. Brandt Corstius	Emiel Willekens	7	J.C. Brandt Corstius	31 december 1908
M. Rutten	Emiel Willekens	5	M. Rutten	18 april 1906
Simon Vestdijk	Emiel Willekens	6	Simon Vestdijk	17 oktober 1898
C.C. de Bruin	R. Lievens	5	C.C. de Bruin	15 mei 1905
A. van Loey	W.E. Hegman	6	A. van Loey	14 juli 1905
A.A. Keersmaekers	Oscar Dambre	5	A.A. Keersmaekers	26 oktober 1920
J. Deschamps	Oscar Dambre	6	J. Deschamps	1 januari 1917
G.I. Lieftinck	P.J.H. Vermeeren	8	G.I. Lieftinck	1902
Lucebert	Emiel Willekens	5	Lucebert	15 september 1924
Louis Couperus	Emiel Willekens	5	Louis Couperus	10 juni 1863
Bert Bakker	Emiel Willekens	5	Bert Bakker	3 april 1912
H.J. Prakke	Lode Roose	5	H.J. Prakke	26 april 1900
Martinus Nijhoff	Lode Roose	6	Martinus Nijhoff	20 april 1894
Martinus Nijhoff	Lode Roose	6	Martinus Nijhoff	26 december 1826
R. Lievens	W.E. Hegman	7	R. Lievens	2 januari 1924
A. van Elslander	W.E. Hegman	5	A. van Elslander	10 september 1921
J.J. Mak	W.E. Hegman	6	J.J. Mak	5 juli 1908
Cyriel Buysse	Emiel Willekens	5	Cyriel Buysse	20 september 1859
Gerard Walschap	Emiel Willekens	5	Gerard Walschap	9 juli 1898
Albe	W.E. Hegman	9	Albe	8 juni 1902
Albe	N. de Paepe	5	Albe	8 juni 1902
M. Rutten	N. de Paepe	6	M. Rutten	18 april 1906
W.J.C. Buitendijk	Oscar Dambre	5	W.J.C. Buitendijk	11 april 1906
Multatuli	Lode Roose	5	Multatuli	2 maart 1820
C.M. Geerars	Lode Roose	6	C.M. Geerars	15 augustus 1921
Anton van Duinkerken	M. Rutten	6	Anton van Duinkerken	2 januari 1903
W.A.P. Smit	Oscar Dambre	6	W.A.P. Smit	6 december 1903
W.Gs Hellinga	P.J.H. Vermeeren	24	W.Gs Hellinga	20 december 1908
P.N. van Eyck	Roger Henrard	6	P.N. van Eyck	1 oktober 1887
Albe	Carlos Tindemans	6	Albe	8 juni 1902
C.M. Geerars	N. de Paepe	6	C.M. Geerars	15 augustus 1921
C.M. Geerars	Carlos Tindemans	5	C.M. Geerars	15 augustus 1921
Ada Deprez	Lode Roose	7	Ada Deprez	12 oktober 1928
N. de Paepe	Lode Roose	6	N. de Paepe	21 mei 1930
N. de Paepe	Marcel Janssens	5	N. de Paepe	21 mei 1930
C. Kruyskamp	Marcel Janssens	5	C. Kruyskamp	31 mei 1911
W.A.P. Smit	Marcel Janssens	6	W.A.P. Smit	6 december 1903
W.P. Gerritsen	W.E. Hegman	7	W.P. Gerritsen	12 augustus 1935
Albe	J. Noë	12	Albe	8 juni 1902
Multatuli	Roger Henrard	6	Multatuli	2 maart 1820
C. Kruyskamp	Lieven Rens	7	C. Kruyskamp	31 mei 1911
Garmt Stuiveling	Lieven Rens	8	Garmt Stuiveling	21 december 1907
C.A. Zaalberg	Lieven Rens	7	C.A. Zaalberg	27 november 1909
Ada Deprez	W. Gobbers	5	Ada Deprez	12 oktober 1928
Martinus Nijhoff	Karel Porteman	9	Martinus Nijhoff	20 april 1894
Martinus Nijhoff	Karel Porteman	9	Martinus Nijhoff	26 december 1826
Lucebert	Lieven Rens	6	Lucebert	15 september 1924
Lucebert	Karel Porteman	5	Lucebert	15 september 1924
J.C. Bloem	Lieven Rens	6	J.C. Bloem	10 mei 1887
J.C. Bloem	Karel Porteman	6	J.C. Bloem	10 mei 1887
P.N. van Eyck	Lieven Rens	5	P.N. van Eyck	1 oktober 1887
P.N. van Eyck	Karel Porteman	5	P.N. van Eyck	1 oktober 1887
Ada Deprez	Karel Porteman	6	Ada Deprez	12 oktober 1928
A.A. Keersmaekers	Lieven Rens	5	A.A. Keersmaekers	26 oktober 1920
Albe	C. Bittremieux	5	Albe	8 juni 1902
P.E.L. Verkuyl	Lieven Rens	7	P.E.L. Verkuyl	1929
S.F. Witstein	Lieven Rens	5	S.F. Witstein	22 mei 1920
Multatuli	Lieven Rens	7	Multatuli	2 maart 1820
C.M. Geerars	Lieven Rens	7	C.M. Geerars	15 augustus 1921
Albe	Lieven Rens	16	Albe	8 juni 1902
W.J.C. Buitendijk	Lieven Rens	7	W.J.C. Buitendijk	11 april 1906
W.A.P. Smit	Carlos Tindemans	7	W.A.P. Smit	6 december 1903
E.K. Grootes	Lieven Rens	5	E.K. Grootes	22 maart 1936
R.F. Lissens	Lieven Rens	8	R.F. Lissens	1912
J.A. Worp	Lieven Rens	5	J.A. Worp	21 januari 1851
R.F. Lissens	W.E. Hegman	6	R.F. Lissens	1912
W.A.P. Smit	W.E. Hegman	5	W.A.P. Smit	6 december 1903
Albe	Karel Porteman	17	Albe	8 juni 1902
P.J. Buijnsters	Lieven Rens	9	P.J. Buijnsters	18 oktober 1933
W. Gobbers	Lode Roose	5	W. Gobbers	28 december 1926
P.E.L. Verkuyl	Karel Porteman	7	P.E.L. Verkuyl	1929
W. Waterschoot	W.E. Hegman	5	W. Waterschoot	8 juli 1941
A. Roland Holst	Karel Porteman	5	A. Roland Holst	23 mei 1888
A. Roland Holst	Lieven Rens	6	A. Roland Holst	23 mei 1888
Martinus Nijhoff	W.E. Hegman	6	Martinus Nijhoff	20 april 1894
Martinus Nijhoff	W.E. Hegman	6	Martinus Nijhoff	26 december 1826
Hilda van Assche	Lieven Rens	5	Hilda van Assche	5 september 1922
Guido Gezelle	Lieven Rens	6	Guido Gezelle	1 mei 1830
Guido Gezelle	Karel Porteman	6	Guido Gezelle	1 mei 1830
Albe	Piet Couttenier	6	Albe	8 juni 1902
Albe	Jan Schoolmeesters	7	Albe	8 juni 1902
R. Lievens	Karel Porteman	10	R. Lievens	2 januari 1924
Lieven Rens	Carlos Tindemans	10	Lieven Rens	15 januari 1925
Lieven Rens	Piet Couttenier	8	Lieven Rens	15 januari 1925
P.J. Buijnsters	Piet Couttenier	5	P.J. Buijnsters	18 oktober 1933
R.F. Lissens	Karel Porteman	7	R.F. Lissens	1912
R.F. Lissens	Jan Schoolmeesters	5	R.F. Lissens	1912
R. Lievens	Lieven Rens	7	R. Lievens	2 januari 1924
R. Lievens	Jan Schoolmeesters	7	R. Lievens	2 januari 1924
Stefan George	Paul Claes	5	Stefan George	1868
Albe	Paul Claes	8	Albe	8 juni 1902
L. Strengholt	Karel Porteman	5	L. Strengholt	31 december 1930
A. van Elslander	Karel Porteman	5	A. van Elslander	10 september 1921
A.J. Hanou	R. Lievens	5	A.J. Hanou	13 april 1941
A.J. Hanou	Jan Schoolmeesters	5	A.J. Hanou	13 april 1941
R.F. Lissens	Frank Willaert	5	R.F. Lissens	1912
Martinus Nijhoff	Paul Claes	5	Martinus Nijhoff	20 april 1894
Martinus Nijhoff	Paul Claes	5	Martinus Nijhoff	26 december 1826
E.K. Grootes	Paul Claes	5	E.K. Grootes	22 maart 1936
P.N. van Eyck	Paul Claes	5	P.N. van Eyck	1 oktober 1887
W.E. Hegman	Karel Porteman	9	W.E. Hegman	24 juni 1924
Guido Gezelle	Paul Claes	5	Guido Gezelle	1 mei 1830
Albe	Paul Schampaert	5	Albe	8 juni 1902
Lieven Rens	Paul Claes	5	Lieven Rens	15 januari 1925
Lieven Rens	Roger Henrard	5	Lieven Rens	15 januari 1925
Lieven Rens	Jan Schoolmeesters	6	Lieven Rens	15 januari 1925
Lieven Rens	R. Lievens	6	Lieven Rens	15 januari 1925
Lieven Rens	W.E. Hegman	5	Lieven Rens	15 januari 1925
Lieven Rens	P.E.L. Verkuyl	6	Lieven Rens	15 januari 1925
Lieven Rens	Karel Porteman	18	Lieven Rens	15 januari 1925
Lieven Rens	R.F. Lissens	5	Lieven Rens	15 januari 1925
W. Waterschoot	Frank Willaert	5	W. Waterschoot	8 juli 1941
Karel Porteman	Ingrid van de Wijer	5	Karel Porteman	20 juni 1938
Karel Porteman	W.E. Hegman	7	Karel Porteman	20 juni 1938
Karel Porteman	Lode Roose	5	Karel Porteman	20 juni 1938
Karel Porteman	Jan Schoolmeesters	7	Karel Porteman	20 juni 1938
Jan Schoolmeesters	W.E. Hegman	5	Jan Schoolmeesters	1951
Jan Schoolmeesters	Karel Porteman	8	Jan Schoolmeesters	1951
W.E. Hegman	Jan Schoolmeesters	5	W.E. Hegman	24 juni 1924
Paul Claes	C. Bittremieux	5	Paul Claes	30 oktober 1943
Albe	K. du Bois de Vroylande	47	Albe	8 juni 1902
Gerard Walschap	Emiel Jan Janssen	10	Gerard Walschap	9 juli 1898
F. De Raedemaeker	K. du Bois de Vroylande	84	F. De Raedemaeker	1894
Felix Timmermans	Emiel Jan Janssen	10	Felix Timmermans	5 juli 1886
Sigrid Undset	Emiel Jan Janssen	7	Sigrid Undset	20 mei 1882
Stijn Streuvels	Emiel Jan Janssen	10	Stijn Streuvels	3 oktober 1871
Marnix Gijsen	Emiel Jan Janssen	17	Marnix Gijsen	20 oktober 1899
F. De Raedemaeker	Eugenius Druwé	34	F. De Raedemaeker	1894
L. Arts	F. De Raedemaeker	43	L. Arts	1901
L. Arts	K. du Bois de Vroylande	62	L. Arts	1901
K. du Bois de Vroylande	L. Arts	36	K. du Bois de Vroylande	19de eeuw
K. du Bois de Vroylande	F. De Raedemaeker	45	K. du Bois de Vroylande	19de eeuw
F. De Raedemaeker	L. Arts	43	F. De Raedemaeker	1894
F. De Raedemaeker	Raphaël M.J. Kreemers	6	F. De Raedemaeker	1894
Jozef Simons	F. De Raedemaeker	9	Jozef Simons	21 mei 1888
Jozef Simons	K. du Bois de Vroylande	12	Jozef Simons	21 mei 1888
Jozef Simons	L. Arts	8	Jozef Simons	21 mei 1888
Jozef Simons	R. van Ooteghem	5	Jozef Simons	21 mei 1888
L. Arts	Edw. De Schaepdrijver	11	L. Arts	1901
L. Arts	J. Donceel	8	L. Arts	1901
L. Arts	R. van Ooteghem	14	L. Arts	1901
Anton van Duinkerken	F. De Raedemaeker	10	Anton van Duinkerken	2 januari 1903
Anton van Duinkerken	K. du Bois de Vroylande	7	Anton van Duinkerken	2 januari 1903
F. De Raedemaeker	Edw. De Schaepdrijver	11	F. De Raedemaeker	1894
F. De Raedemaeker	J. Donceel	10	F. De Raedemaeker	1894
F. De Raedemaeker	R. van Ooteghem	15	F. De Raedemaeker	1894
Albe	F. De Raedemaeker	34	Albe	8 juni 1902
Albe	Eugenius Druwé	18	Albe	8 juni 1902
Albe	Alb. Raignier	12	Albe	8 juni 1902
Cyriel Verschaeve	K. du Bois de Vroylande	5	Cyriel Verschaeve	30 april 1874
F. De Raedemaeker	Alb. Raignier	16	F. De Raedemaeker	1894
F. De Raedemaeker	M. Dufraing	7	F. De Raedemaeker	1894
L. Arts	J.A. van Houtte	23	L. Arts	1901
L. Arts	Emiel Jan Janssen	58	L. Arts	1901
Hilarion Thans	Emiel Jan Janssen	9	Hilarion Thans	12 januari 1884
Hilarion Thans	F. De Raedemaeker	8	Hilarion Thans	12 januari 1884
Albe	L. Arts	28	Albe	8 juni 1902
C.G.N. de Vooys	Emiel Jan Janssen	5	C.G.N. de Vooys	26 mei 1873
Marie Koenen	J.A. van Houtte	5	Marie Koenen	19 januari 1879
Marie Koenen	Emiel Jan Janssen	7	Marie Koenen	19 januari 1879
Marie Koenen	K. du Bois de Vroylande	6	Marie Koenen	19 januari 1879
Gerard Walschap	K. du Bois de Vroylande	5	Gerard Walschap	9 juli 1898
Hilarion Thans	K. du Bois de Vroylande	8	Hilarion Thans	12 januari 1884
F. De Raedemaeker	J.A. van Houtte	27	F. De Raedemaeker	1894
F. De Raedemaeker	Emiel Jan Janssen	82	F. De Raedemaeker	1894
F. De Raedemaeker	Gaston Van Bulck	6	F. De Raedemaeker	1894
J. Donceel	F. De Raedemaeker	9	J. Donceel	19de eeuw
J. Donceel	Emiel Jan Janssen	9	J. Donceel	19de eeuw
J. Donceel	K. du Bois de Vroylande	10	J. Donceel	19de eeuw
G. De Wolf	F. De Raedemaeker	17	G. De Wolf	20ste eeuw
G. De Wolf	J.A. van Houtte	5	G. De Wolf	20ste eeuw
G. De Wolf	Emiel Jan Janssen	33	G. De Wolf	20ste eeuw
G. De Wolf	K. du Bois de Vroylande	29	G. De Wolf	20ste eeuw
Fr. van Baarle	F. De Raedemaeker	8	Fr. van Baarle	20ste eeuw
Fr. van Baarle	Emiel Jan Janssen	11	Fr. van Baarle	20ste eeuw
Fr. van Baarle	K. du Bois de Vroylande	8	Fr. van Baarle	20ste eeuw
L. Elaut	F. De Raedemaeker	10	L. Elaut	26 december 1897
L. Elaut	J.A. van Houtte	6	L. Elaut	26 december 1897
L. Elaut	K. du Bois de Vroylande	11	L. Elaut	26 december 1897
J. Salsmans	F. De Raedemaeker	24	J. Salsmans	2 september 1873
J. Salsmans	J.A. van Houtte	14	J. Salsmans	2 september 1873
J. Salsmans	K. du Bois de Vroylande	29	J. Salsmans	2 september 1873
Dirk Coster	Emiel Jan Janssen	7	Dirk Coster	7 juli 1887
Marie Koenen	L. Arts	5	Marie Koenen	19 januari 1879
G. De Wolf	Edgard de Bruyne	6	G. De Wolf	20ste eeuw
G. De Wolf	L. Arts	20	G. De Wolf	20ste eeuw
Anne de Vries	Emiel Jan Janssen	5	Anne de Vries	22 mei 1904
Anne de Vries	Emiel Jan Janssen	5	Anne de Vries	19 augustus 1944
Anne de Vries	K. du Bois de Vroylande	5	Anne de Vries	22 mei 1904
Anne de Vries	K. du Bois de Vroylande	5	Anne de Vries	19 augustus 1944
Anton Van de Velde	Emiel Jan Janssen	11	Anton Van de Velde	8 juli 1895
Cyriel Verschaeve	Emiel Jan Janssen	7	Cyriel Verschaeve	30 april 1874
Ernest Claes	K. du Bois de Vroylande	5	Ernest Claes	24 oktober 1885
Ernest Claes	F. De Raedemaeker	5	Ernest Claes	24 oktober 1885
Ernest Claes	Emiel Jan Janssen	8	Ernest Claes	24 oktober 1885
Ernest Claes	L. Arts	5	Ernest Claes	24 oktober 1885
F. De Raedemaeker	G. De Wolf	16	F. De Raedemaeker	1894
F. De Raedemaeker	A. Snoeck	15	F. De Raedemaeker	1894
Anton van Duinkerken	Emiel Jan Janssen	11	Anton van Duinkerken	2 januari 1903
H. Bruders	K. du Bois de Vroylande	7	H. Bruders	19de eeuw
H. Bruders	Emiel Jan Janssen	7	H. Bruders	19de eeuw
H. Bruders	F. De Raedemaeker	5	H. Bruders	19de eeuw
J. Salsmans	Emiel Jan Janssen	26	J. Salsmans	2 september 1873
J. Salsmans	Louis H.M. Monden	10	J. Salsmans	2 september 1873
J. Salsmans	B. De Wint	8	J. Salsmans	2 september 1873
B. De Wint	K. du Bois de Vroylande	14	B. De Wint	19de eeuw
B. De Wint	Emiel Jan Janssen	13	B. De Wint	19de eeuw
B. De Wint	F. De Raedemaeker	11	B. De Wint	19de eeuw
B. De Wint	J. Salsmans	8	B. De Wint	19de eeuw
F. De Raedemaeker	H. Bruders	6	F. De Raedemaeker	1894
F. De Raedemaeker	J. Salsmans	25	F. De Raedemaeker	1894
F. De Raedemaeker	Louis H.M. Monden	25	F. De Raedemaeker	1894
F. De Raedemaeker	B. De Wint	10	F. De Raedemaeker	1894
L.G. Polspoel	Emiel Jan Janssen	12	L.G. Polspoel	19de eeuw
L.G. Polspoel	K. du Bois de Vroylande	11	L.G. Polspoel	19de eeuw
L.G. Polspoel	F. De Raedemaeker	10	L.G. Polspoel	19de eeuw
L.G. Polspoel	Jan Jozef van Laer	5	L.G. Polspoel	19de eeuw
A.A.M. Stols	Emiel Jan Janssen	5	A.A.M. Stols	28 januari 1900
A.A.M. Stols	F. De Raedemaeker	5	A.A.M. Stols	28 januari 1900
W. Koch	Emiel Jan Janssen	5	W. Koch	20ste eeuw
W. Koch	K. du Bois de Vroylande	5	W. Koch	20ste eeuw
Wies Moens	Emiel Jan Janssen	9	Wies Moens	28 januari 1898
Wies Moens	K. du Bois de Vroylande	7	Wies Moens	28 januari 1898
Wies Moens	F. De Raedemaeker	8	Wies Moens	28 januari 1898
M. Stol	Emiel Jan Janssen	5	M. Stol	1940
M. Stol	F. De Raedemaeker	5	M. Stol	1940
Albe	J. Donceel	5	Albe	8 juni 1902
Albe	Louis H.M. Monden	15	Albe	8 juni 1902
W. De Roy	Emiel Jan Janssen	5	W. De Roy	19de eeuw
W. De Roy	K. du Bois de Vroylande	5	W. De Roy	19de eeuw
A. Snoeck	Emiel Jan Janssen	15	A. Snoeck	20ste eeuw
A. Snoeck	K. du Bois de Vroylande	13	A. Snoeck	20ste eeuw
A. Snoeck	F. De Raedemaeker	14	A. Snoeck	20ste eeuw
A. Snoeck	Louis H.M. Monden	6	A. Snoeck	20ste eeuw
F. De Raedemaeker	Jan Jozef van Laer	6	F. De Raedemaeker	1894
F. De Raedemaeker	L.G. Polspoel	10	F. De Raedemaeker	1894
Marcel Matthijs	Emiel Jan Janssen	5	Marcel Matthijs	11 januari 1899
Felix Timmermans	K. du Bois de Vroylande	5	Felix Timmermans	5 juli 1886
Guido Gezelle	L. Arts	7	Guido Gezelle	1 mei 1830
Guido Gezelle	F. De Raedemaeker	5	Guido Gezelle	1 mei 1830
Guido Gezelle	K. du Bois de Vroylande	10	Guido Gezelle	1 mei 1830
Anton Van de Velde	L. Arts	5	Anton Van de Velde	8 juli 1895
Anton Van de Velde	K. du Bois de Vroylande	6	Anton Van de Velde	8 juli 1895
L. Arts	Marcel van Caster	6	L. Arts	1901
Joris Eeckhout	Emiel Jan Janssen	6	Joris Eeckhout	29 juli 1887
Bergman	F. De Raedemaeker	9	Bergman	11 september 1921
Bergman	L. Arts	6	Bergman	11 september 1921
Bergman	Emiel Jan Janssen	11	Bergman	11 september 1921
Bergman	K. du Bois de Vroylande	10	Bergman	11 september 1921
Bergman	A. Darquennes	7	Bergman	11 september 1921
Multatuli	Emiel Jan Janssen	7	Multatuli	2 maart 1820
Willem Elsschot	Emiel Jan Janssen	7	Willem Elsschot	7 mei 1882
Albe	Ad. Jansen	8	Albe	8 juni 1902
Herman de Man	Emiel Jan Janssen	5	Herman de Man	11 juli 1898
Albe	L. Verelst	5	Albe	8 juni 1902
Albe	L. Vander Kerken	28	Albe	8 juni 1902
Albe	E.J. Vandenbussche	15	Albe	8 juni 1902
Albe	A. Darquennes	12	Albe	8 juni 1902
Albe	Hugo Vandeperre	10	Albe	8 juni 1902
Maurice Roelants	Emiel Jan Janssen	5	Maurice Roelants	19 december 1895
Albrecht Rodenbach	Emiel Jan Janssen	5	Albrecht Rodenbach	27 oktober 1856
Jozef Simons	Emiel Jan Janssen	10	Jozef Simons	21 mei 1888
Hugo Verriest	Emiel Jan Janssen	6	Hugo Verriest	25 november 1840
Bergman	L. Vander Kerken	5	Bergman	11 september 1921
Bergman	Louis H.M. Monden	9	Bergman	11 september 1921
Multatuli	K. du Bois de Vroylande	5	Multatuli	2 maart 1820
Multatuli	F. De Raedemaeker	5	Multatuli	2 maart 1820
Hilarion Thans	L. Vander Kerken	6	Hilarion Thans	12 januari 1884
Albe	R. van Ooteghem	12	Albe	8 juni 1902
Jozef Simons	A. Darquennes	5	Jozef Simons	21 mei 1888
Guido Gezelle	L. Vander Kerken	6	Guido Gezelle	1 mei 1830
Guido Gezelle	R. van Ooteghem	5	Guido Gezelle	1 mei 1830
J. Donceel	L. Arts	6	J. Donceel	19de eeuw
J. De Jaegher	F. De Raedemaeker	6	J. De Jaegher	20ste eeuw
J. De Jaegher	L. Arts	8	J. De Jaegher	20ste eeuw
J. De Jaegher	Eugenius Druwé	5	J. De Jaegher	20ste eeuw
J. De Jaegher	L. Vander Kerken	6	J. De Jaegher	20ste eeuw
J. De Jaegher	Emiel Jan Janssen	8	J. De Jaegher	20ste eeuw
J. De Jaegher	K. du Bois de Vroylande	8	J. De Jaegher	20ste eeuw
J. De Jaegher	Hugo Vandeperre	7	J. De Jaegher	20ste eeuw
J. De Jaegher	J.A. van Houtte	6	J. De Jaegher	20ste eeuw
L. Vander Kerken	Edouard Dhanis	21	L. Vander Kerken	1910
L. Vander Kerken	F. De Raedemaeker	44	L. Vander Kerken	1910
L. Vander Kerken	L. Arts	28	L. Vander Kerken	1910
L. Vander Kerken	Eugenius Druwé	28	L. Vander Kerken	1910
L. Vander Kerken	Edw. De Schaepdrijver	6	L. Vander Kerken	1910
L. Vander Kerken	A. Snoeck	9	L. Vander Kerken	1910
L. Vander Kerken	Emiel Jan Janssen	62	L. Vander Kerken	1910
L. Vander Kerken	E.J. Vandenbussche	15	L. Vander Kerken	1910
L. Vander Kerken	K. du Bois de Vroylande	49	L. Vander Kerken	1910
L. Vander Kerken	R. van Ooteghem	17	L. Vander Kerken	1910
L. Vander Kerken	Hugo Vandeperre	16	L. Vander Kerken	1910
L. Vander Kerken	J. De Jaegher	5	L. Vander Kerken	1910
L. Vander Kerken	J.A. van Houtte	18	L. Vander Kerken	1910
L. Arts	Edouard Dhanis	18	L. Arts	1901
L. Arts	Eugenius Druwé	23	L. Arts	1901
L. Arts	L. Vander Kerken	28	L. Arts	1901
L. Arts	A. Snoeck	9	L. Arts	1901
L. Arts	E.J. Vandenbussche	19	L. Arts	1901
L. Arts	Hugo Vandeperre	19	L. Arts	1901
L. Arts	J. De Jaegher	9	L. Arts	1901
Albe	Edouard Dhanis	18	Albe	8 juni 1902
A. Snoeck	Edouard Dhanis	6	A. Snoeck	20ste eeuw
A. Snoeck	L. Arts	9	A. Snoeck	20ste eeuw
A. Snoeck	Eugenius Druwé	8	A. Snoeck	20ste eeuw
A. Snoeck	L. Vander Kerken	9	A. Snoeck	20ste eeuw
A. Snoeck	J.A. van Houtte	6	A. Snoeck	20ste eeuw
F. De Raedemaeker	Edouard Dhanis	19	F. De Raedemaeker	1894
F. De Raedemaeker	L. Vander Kerken	45	F. De Raedemaeker	1894
F. De Raedemaeker	E.J. Vandenbussche	12	F. De Raedemaeker	1894
F. De Raedemaeker	Hugo Vandeperre	17	F. De Raedemaeker	1894
F. De Raedemaeker	J. De Jaegher	6	F. De Raedemaeker	1894
L. Vander Kerken	Leo Simoens	6	L. Vander Kerken	1910
L. Vander Kerken	Louis H.M. Monden	14	L. Vander Kerken	1910
L. Vander Kerken	J. Salsmans	18	L. Vander Kerken	1910
L. Vander Kerken	P. Ellerbeek	10	L. Vander Kerken	1910
L. Vander Kerken	Jan Jozef van Laer	5	L. Vander Kerken	1910
